Year,ENERGY,NONFUEL,AGRICULTURE,BEVERAGES,FOOD,FATS_OILS,GRAINS,OTHERFOOD,RAW_MATERIAL,TIMBER,OTHERRAWMAT,FERTILIZERS,METMIN,BASEMET,PRECIOUSMET
1960,..,..,21.66,24.76,20.83,22.09,23.43,16.82,22.11,16.24,28.53,..,12.68,13.8,3.27
1961,..,..,21.77,22.61,22.02,24.9,24.33,16.13,20.74,16.59,25.28,..,12.37,13.49,3.28
1962,..,..,21.48,22.05,21.8,22.6,26.82,16.21,20.42,17.59,23.51,..,12.21,13.3,3.43
1963,..,..,22.99,22.48,24.41,23.5,27.42,22.91,19.8,17.32,22.52,..,12.29,13.39,3.6
1964,..,..,23,24.4,24.25,24.18,27.64,21.27,19.26,15.71,23.14,..,14.57,16.33,3.62
1965,..,..,22.48,22.49,23.76,26.78,26.85,17,19.34,17.18,21.71,..,16.5,18.63,3.65
1966,..,..,23.34,23.28,24.58,26.49,29.49,17.62,20.34,17.72,23.21,..,17.43,19.97,3.65
1967,..,20.38,23.25,23.46,24.7,24.35,31.62,18.88,19.62,18.45,20.89,13.07,15.33,17.48,3.9
1968,..,19.95,22.38,24.44,23.17,21.88,29.51,19.14,19.42,18.66,20.24,10.5,16.04,18.37,4.73
1969,..,21.03,23.17,26.37,24.05,22.2,29.08,21.94,19.39,18.33,20.55,9.17,17.99,20.6,4.54
1970,..,22.06,24.65,27.69,26.09,27.19,27.45,23.42,19.58,19.54,19.63,8.69,18.27,20.95,4.22
1971,..,21.58,24.63,24.99,26.62,27.94,27.35,24.23,19.59,19.58,19.61,8.51,16.8,19.06,4.29
1972,..,22.54,26.1,27.17,28.55,27.93,28.83,29.12,19.59,18.97,20.28,11.89,16.46,18.64,5.54
1973,..,35.17,42.7,35.72,50.03,56.27,56.36,36.1,28.43,25.93,31.15,19.69,21.49,24.84,8.89
1974,..,47.39,56.19,44.37,68.61,64.78,82.58,61,32.03,29.16,35.17,70.51,26.71,30.78,14.91
1975,..,38.61,45.36,41.17,52.95,46.52,65.58,49.97,29.07,25.88,32.56,51.21,23.34,26.01,14.73
1976,..,40.22,48.27,73.35,47.61,47.36,55.5,40.8,37.11,31.51,43.23,25.99,25.34,27.61,12.35
1977,16.95,46.73,56.3,127.34,49.35,58.59,49.3,37.24,37.05,31.69,42.91,36.08,28.33,31.24,14.06
1978,17.77,47.14,55.9,96.83,54.47,60.21,59.19,42.64,38.57,32.74,44.95,33.61,30.7,34.42,17.9
1979,38.07,54.84,63.33,100.35,61.68,66.68,64.35,52.68,48.53,47.11,50.08,40.51,39.05,44.38,30.81
1980,45.99,60,68.76,87.86,70.99,63.85,74.22,77.46,53.64,51.91,55.53,52.53,42.88,48.37,59.54
1981,45.88,52.49,61.71,69.89,66.05,61.26,78.7,60.9,47.02,44.36,49.92,49.79,33.88,37.28,40
1982,43.45,44.6,52.66,69.14,52.8,50.55,60.43,48.84,43.93,42.8,45.17,37.52,28.89,30.43,31.99
1983,39.4,49.12,57.09,77.29,57.47,57.7,65.18,50.19,45.91,41.07,51.2,34.91,34.39,37.76,38.43
1984,37.79,49.9,59.75,88.46,58.89,66.75,63.27,44.6,47.23,44.74,49.95,39.33,30.89,33.9,31.28
1985,36.21,42.67,50.2,78.96,48.61,49.8,53.54,42.57,39.47,37.87,41.21,33.67,28.24,30.57,26.53
1986,21.52,41,47.93,88.44,42.58,38.39,44.83,46.07,40.32,41.25,39.3,27.18,28.35,30.75,29.41
1987,24.45,44.59,49.59,67,45.45,42.93,43.92,50.15,50.81,52.87,48.55,29.18,36.07,40.43,36.08
1988,21.04,55.94,56.82,65.16,57.93,57.27,58.67,58.15,49.88,52.9,46.58,35.56,56.43,65.68,34.98
1989,24.4,54.74,57.45,54.84,58.69,51.4,63.85,63.63,55.75,59.7,51.43,33.83,51.57,59.12,30.44
1990,30.28,51.25,55.05,50.4,54.68,44.84,57.91,64.71,58.31,63.03,53.14,34.77,45.34,50.7,29.86
1991,26.42,48.79,54.32,45.8,54.1,46.05,58.08,61.09,59.2,65.95,51.82,38.85,38.57,42,27.58
1992,26.06,47.89,53.73,39.68,53.87,47.57,58.39,58.08,60.54,72.41,47.57,35.5,37.32,40.72,26.27
1993,23.89,48.41,57.34,42.41,54.12,48.97,54.48,60.58,72.73,100.58,42.28,30.46,32.14,34.98,27.66
1994,22.51,54.87,64.03,67.77,58.14,55.39,58.77,61.19,76.46,99.83,50.9,32.85,38.57,43.31,30.18
1995,24.14,59.57,66.87,69.24,63,59.55,69.38,61.75,75.08,88.26,60.66,38.69,46.96,53.36,30.15
1996,28.94,58.49,68.27,59.77,67.96,62.64,83.61,60.81,73.33,88.11,57.17,44.08,40.06,44.59,30.32
1997,27.1,57.12,65.86,75.94,62.81,63.29,64.76,60.4,68.15,79.95,55.24,38.59,41.29,46.08,26.44
1998,19.54,49.03,57.32,67.18,57.3,58.12,57.43,56.09,52.36,57.36,46.89,33.75,33.76,36.67,24.66
1999,24.84,44.56,50.64,51.93,48.14,45.34,49.59,50.5,56.07,70.04,40.8,31.87,33.53,36.92,23.37
2000,39.4,45.05,48.86,43.1,46.88,42.29,46.65,53.15,56.6,69.7,42.28,36.12,38.25,42.55,23.49
2001,35.17,42.63,47.08,37.07,48.73,40.57,46.89,61.14,48.15,56.84,38.65,34.86,34.38,37.59,22.4
2002,34.13,44.52,50.63,45.03,51.8,46.52,52.94,57.71,50.65,61.36,38.93,34.92,33.08,36.1,25.11
2003,41.68,48.76,54.94,46.13,56.19,56.28,54.32,57.75,56.38,65.47,46.45,42.11,36.83,40.3,29.08
2004,53.14,56.6,60.52,47.64,63.59,62.62,59.28,68.78,59.59,69.05,49.24,50.26,49.28,54.7,33.97
2005,74.71,61.29,62,55.39,62.46,56.44,58.79,73.71,64.23,76.69,50.61,58.97,60.1,63.72,36.95
2006,84.74,75.56,68.38,59.43,67.74,57.74,70.02,78.82,74.48,87.84,59.87,61.08,91.92,102.24,51.57
2007,93.26,89.82,81.25,68.72,83.87,85.57,88.98,77,81.28,95.34,65.9,83.36,108.12,113.66,59.49
2008,129.12,105.72,102.75,83.7,111.98,115.71,130.69,90.15,90.02,104.87,73.77,190.09,102.22,101.13,72.66
2009,79.74,83.94,89.51,86.1,92.99,91.05,98.95,90.15,82.79,96.79,67.47,120.04,68.42,71.57,78.01
2010,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2011,128.69,119.56,121.52,115.97,122.47,120.54,138.19,110.77,122.04,117.29,127.24,137.62,113.49,113.14,136.27
2012,127.57,109.51,114.29,92.63,124.15,125.35,141.34,107.02,101.34,109.11,92.84,141.06,96.13,98,138.46
2013,127.41,101.29,105.68,83.3,114.59,114.34,128.25,102.56,95.41,102.58,87.57,114.36,90.81,90.35,115.09
2014,118.3,96.47,101.88,101.77,106.02,106.35,104.08,107.33,91.91,104.87,77.73,101.47,84.79,89.05,101.12
2015,64.79,81.62,87.86,93.95,88.46,84.36,87.06,95.13,83.29,96.07,69.31,98.4,66.94,73.6,90.64
2016,55.05,79.36,87.45,91.29,89.63,88.27,80.69,99.5,80.2,89.65,69.86,77.71,62.97,68.29,97.45
2017,68.09,83.73,86.95,83.11,90.2,87.57,80.55,102.41,81,85.56,76.01,74.26,78.2,84.94,97.84
