Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,512,Afghanistan,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,6.51,15.67,-2.73,1.99,13.12,5.81,6.3,7.44,1.67,3.86,2.46,2.63,2.95,,
ALB,914,Albania,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,0.03,-0.14,2.83,2.16,0.52,1.23,1.47,-0.8,0.61,1.17,0.34,-0.06,0.89
DZA,612,Algeria,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.57,3.2,4.08,4.02,5.41,6.73,3.65,2.34,5.54,9.13,6.75,5.74,4.31,4.6,5.72
AGO,614,Angola,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.84,38.89,21.46,10.99,11.86,9.35,11.05,13.69,13.72,9,7.23,8.7,10.27,28.97,38.05,24.32,16,,
ARG,213,Argentina,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89,52.52,43.76,51.42
ARM,911,Armenia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.91,4.53,1.65,4.76,-0.4,-0.99,3.6,1.24,2.53,4.16
ABW,314,Aruba,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,3.09,2.57,2,1.78,3.87,6.61,-0.89,-0.11,3.17,0.19,-0.77,-0.35,-1.17,-0.42,-0.95,3.61,3.96,,
AUT,122,Austria,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.59,2.45,2.35,2.13,1.29,1.7,1.53,0.64,1.18,2.81,0.22,1.85,3.11,2.17,1.64,1.55,0.83,0.94,2.12,2.01,1.31,0.95,0.68
BHS,313,"Bahamas, The",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,2.99,0.23,0.59,2.15,3.81,0.29,
BHR,419,Bahrain,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.94,1.34,1.68,0.57,3.08,0.63,2.44,-0.11,,
